# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=8][T/m^n] 
+9.3200000000000003e+01 -1.1598028848038722e-03 +1.5536100029881696e-07 +3.6921551066809727e-01 -2.5055200385536306e+01 -4.0973306768759704e+02 +3.2032902433492104e+05 
+9.3300000000000011e+01 -1.1564393728287926e-03 +1.5474027423300991e-07 +3.6792924662800580e-01 -2.4986685139140619e+01 -3.6647877911986831e+02 +2.6217579496851360e+05 
+9.3400000000000006e+01 -1.1530873895228421e-03 +1.5415428909271520e-07 +3.6664775253141496e-01 -2.4918283545248755e+01 -3.2295156886020590e+02 +2.0262124048682774e+05 
+9.3500000000000000e+01 -1.1497468903972693e-03 +1.5361085693388402e-07 +3.6537099015593216e-01 -2.4849700046540260e+01 -2.8081731202583541e+02 +1.4461986306153034e+05 
+9.3600000000000009e+01 -1.1464178309634303e-03 +1.5311778984010005e-07 +3.6409892129117294e-01 -2.4780639284457500e+01 -2.4174085075179443e+02 +9.1124508142817329e+04 
+9.3700000000000003e+01 -1.1431001667327049e-03 +1.5268289990663796e-07 +3.6283150772923373e-01 -2.4710805940166864e+01 -2.0738682695936149e+02 +4.5087707870193553e+04 
+9.3800000000000011e+01 -1.1397938532162393e-03 +1.5231399919263726e-07 +3.6156871123803319e-01 -2.4639904307385812e+01 -1.7942185346150333e+02 +9.4651078946941216e+03 
+9.3900000000000006e+01 -1.1364988459254646e-03 +1.5201889979124694e-07 +3.6031049361444950e-01 -2.4567639139664681e+01 -1.5951021728844827e+02 -1.2791305660467569e+04 
+9.4000000000000000e+01 -1.1332151003716629e-03 +1.5180541374088192e-07 +3.5905681664016387e-01 -2.4493714950267755e+01 -1.4931741617958818e+02 -1.8727647701653328e+04 
+9.4100000000000009e+01 -1.1299425725205296e-03 +1.5167748687776985e-07 +3.5780764940622961e-01 -2.4417944243871073e+01 -1.4991399379440102e+02 -6.4275635951174427e+03 
+9.4200000000000003e+01 -1.1266812201554391e-03 +1.5162359978407604e-07 +3.5656299024355598e-01 -2.4340571537419322e+01 -1.5999040678945914e+02 +2.1874712280780172e+04 
+9.4300000000000011e+01 -1.1234310015141302e-03 +1.5162836677707360e-07 +3.5532284478653048e-01 -2.4261949238453653e+01 -1.7764268993532193e+02 +6.2908276004464751e+04 
+9.4400000000000006e+01 -1.1201918748343833e-03 +1.5167640218253808e-07 +3.5408721867452470e-01 -2.4182429842549801e+01 -2.0096640260657628e+02 +1.1340144177037157e+05 
+9.4500000000000000e+01 -1.1169637983539371e-03 +1.5175232032039934e-07 +3.5285611754146440e-01 -2.4102365746590365e+01 -2.2805764461515315e+02 +1.7008342078061143e+05 
+9.4600000000000009e+01 -1.1137467303105348e-03 +1.5184073550846182e-07 +3.5162954702331595e-01 -2.4022109393798061e+01 -2.5701223544028107e+02 +2.2968293188879028e+05 
+9.4700000000000003e+01 -1.1105406289419082e-03 +1.5192626204008573e-07 +3.5040751275365811e-01 -2.3942013178959435e+01 -2.8592627393328456e+02 +2.8892917159464833e+05 
+9.4800000000000011e+01 -1.1073454524858516e-03 +1.5199351427399312e-07 +3.4919002037312691e-01 -2.3862429615709182e+01 -3.1289523499692666e+02 +3.4455032890991896e+05 
+9.4900000000000006e+01 -1.1041611591801259e-03 +1.5202710647909973e-07 +3.4797707551856782e-01 -2.3783711153007673e+01 -3.3601493610096014e+02 +3.9327514948833466e+05 
+9.5000000000000000e+01 -1.1009877072624527e-03 +1.5201165302847556e-07 +3.4676868382287163e-01 -2.3706210178624172e+01 -3.5338149891233320e+02 +4.3183285192962567e+05 
+9.5100000000000009e+01 -1.0978250551694551e-03 +1.5193481508410805e-07 +3.4556484559862188e-01 -2.3630194263057660e+01 -3.6356465761992854e+02 +4.5778598844598775e+05 
+9.5200000000000003e+01 -1.0946731621331543e-03 +1.5179644158379832e-07 +3.4436553985256352e-01 -2.3555591306553492e+01 -3.6703065246169297e+02 +4.7203370759525982e+05 
+9.5300000000000011e+01 -1.0915319875844057e-03 +1.5159942824788805e-07 +3.4317074026540484e-01 -2.3482244307990445e+01 -3.6471974338431818e+02 +4.7630911498150515e+05 
+9.5400000000000006e+01 -1.0884014909541132e-03 +1.5134667090778157e-07 +3.4198042052149463e-01 -2.3409996316039262e+01 -3.5757196150017478e+02 +4.7234497975813807e+05 
+9.5500000000000000e+01 -1.0852816316730897e-03 +1.5104106529497992e-07 +3.4079455429632310e-01 -2.3338690241690482e+01 -3.4652802519613471e+02 +4.6187514276726521e+05 
+9.5600000000000009e+01 -1.0821723691722678e-03 +1.5068550722281992e-07 +3.3961311527761012e-01 -2.3268169190764834e+01 -3.3252766483632581e+02 +4.4663188717762369e+05 
+9.5700000000000003e+01 -1.0790736628824836e-03 +1.5028289247009725e-07 +3.3843607714340662e-01 -2.3198276115550868e+01 -3.1651138855270852e+02 +4.2834872171073640e+05 
+9.5800000000000011e+01 -1.0759854722346162e-03 +1.4983611677362702e-07 +3.3726341357625594e-01 -2.3128854041042185e+01 -2.9941933227115169e+02 +4.0875856482519768e+05 
+9.5900000000000006e+01 -1.0729077566595320e-03 +1.4934807597012748e-07 +3.3609509825637074e-01 -2.3059745949248242e+01 -2.8219186656035015e+02 +3.8959472170419735e+05 
+9.6000000000000000e+01 -1.0698404755880976e-03 +1.4882166579535100e-07 +3.3493110486540051e-01 -2.2990794852791471e+01 -2.6576918417750932e+02 +3.7259019382190023e+05 
+9.6100000000000009e+01 -1.0667835887773675e-03 +1.4826048053825135e-07 +3.3377140909274639e-01 -2.2921880870247254e+01 -2.5085015808885396e+02 +3.5900975515762670e+05 
+9.6200000000000003e+01 -1.0637370572894405e-03 +1.4767090838493673e-07 +3.3261599469195102e-01 -2.2853033097416002e+01 -2.3716548860786122e+02 +3.4824060882804904e+05 
+9.6300000000000011e+01 -1.0607008425123558e-03 +1.4706003605186644e-07 +3.3146484740118159e-01 -2.2784317381187869e+01 -2.2420631545216310e+02 +3.3920446176790015e+05 
+9.6400000000000006e+01 -1.0576749058344220e-03 +1.4643495020448556e-07 +3.3031795298428235e-01 -2.2715799964298153e+01 -2.1146181031782018e+02 +3.3081995912437496e+05 
+9.6500000000000000e+01 -1.0546592086437940e-03 +1.4580273755872215e-07 +3.2917529719089861e-01 -2.2647546875023700e+01 -1.9842219679026479e+02 +3.2200736688023503e+05 
+9.6600000000000009e+01 -1.0516537123286538e-03 +1.4517048475663953e-07 +3.2803686577304264e-01 -2.2579624174962486e+01 -1.8457754354860103e+02 +3.1168672229486919e+05 
+9.6700000000000003e+01 -1.0486583782772434e-03 +1.4454527853701595e-07 +3.2690264448827200e-01 -2.2512098011728497e+01 -1.6941748812939841e+02 +2.9877738646450377e+05 
+9.6800000000000011e+01 -1.0456731678777141e-03 +1.4393420556157668e-07 +3.2577261908548083e-01 -2.2445034396907097e+01 -1.5243235488305598e+02 +2.8219980260686256e+05 
+9.6900000000000006e+01 -1.0426980425183138e-03 +1.4334435255209509e-07 +3.2464677532325120e-01 -2.2378499497484601e+01 -1.3311167415507802e+02 +2.6087315370625915e+05 
+9.7000000000000000e+01 -1.0397329635871866e-03 +1.4278280616338823e-07 +3.2352509894955450e-01 -2.2312559311006030e+01 -1.1094583768011603e+02 +2.3371798402258544e+05 
+9.7100000000000009e+01 -1.0367778926650185e-03 +1.4225560870273629e-07 +3.2240757332832992e-01 -2.2247235456291982e+01 -8.5704455673678254e+01 +2.0018808147152260e+05 
+9.7200000000000003e+01 -1.0338327921024474e-03 +1.4176462476683839e-07 +3.2129417226502349e-01 -2.2182371687410512e+01 -5.8275762641145455e+01 +1.6187294179554412e+05 
+9.7300000000000011e+01 -1.0308976244423275e-03 +1.4131067461017087e-07 +3.2018486714756061e-01 -2.2117766846593973e+01 -2.9829915019793681e+01 +1.2089956824017974e+05 
+9.7400000000000006e+01 -1.0279723522278565e-03 +1.4089457846595401e-07 +3.1907962939931117e-01 -2.2053220343315445e+01 -1.5341830498346472e+00 +7.9390401791605196e+04 
+9.7500000000000000e+01 -1.0250569380020680e-03 +1.4051715654190092e-07 +3.1797843042613066e-01 -2.1988531301789212e+01 +2.5442697220121783e+01 +3.9470215070546335e+04 
+9.7600000000000009e+01 -1.0221513443078589e-03 +1.4017922907282613e-07 +3.1688124162115733e-01 -2.1923498654362994e+01 +4.9931049166830874e+01 +3.2652296257413518e+03 
+9.7700000000000003e+01 -1.0192555336884079e-03 +1.3988161627281951e-07 +3.1578803440499159e-01 -2.1857921759176190e+01 +7.0763319474314955e+01 -2.7101642644031053e+04 
+9.7800000000000011e+01 -1.0163694686866811e-03 +1.3962513838147821e-07 +3.1469878017737318e-01 -2.1791599648805192e+01 +8.6770324057713893e+01 -4.9504939674340560e+04 
+9.7900000000000006e+01 -1.0134931118456975e-03 +1.3941061561767475e-07 +3.1361345034310106e-01 -2.1724331434946968e+01 +9.6783276070146215e+01 -6.1819821691476063e+04 
+9.8000000000000000e+01 -1.0106264257085861e-03 +1.3923886821250383e-07 +3.1253201631834876e-01 -2.1655916410745444e+01 +9.9634310134506322e+01 -6.1922903881290571e+04 
+9.8100000000000009e+01 -1.0077693731874971e-03 +1.3910911450974299e-07 +3.1145445464750326e-01 -2.1586230659636819e+01 +9.4587834980759197e+01 -4.8457591958784535e+04 
+9.8200000000000003e+01 -1.0049219186714826e-03 +1.3901416547288623e-07 +3.1038076247335283e-01 -2.1515458801524510e+01 +8.2644366063098488e+01 -2.3145543728860011e+04 
+9.8300000000000011e+01 -1.0020840269187746e-03 +1.3894523015844854e-07 +3.0931094208354964e-01 -2.1443862516191764e+01 +6.5238075252311347e+01 +1.1522595119378826e+04 
+9.8400000000000006e+01 -9.9925566268771232e-04 +1.3889351764101259e-07 +3.0824499577568870e-01 -2.1371703632730910e+01 +4.3803862618277286e+01 +5.3055062543032756e+04 
+9.8500000000000000e+01 -9.9643679073644622e-04 +1.3885023697656195e-07 +3.0718292582890216e-01 -2.1299243693004701e+01 +1.9775192742230224e+01 +9.8962337285957910e+04 
+9.8600000000000009e+01 -9.9362737582327069e-04 +1.3880659726306088e-07 +3.0612473453723582e-01 -2.1226744478520217e+01 -5.4132460885994682e+00 +1.4675295832212811e+05 
+9.8700000000000003e+01 -9.9082738270638796e-04 +1.3875380754905336e-07 +3.0507042418483338e-01 -2.1154467608380486e+01 -3.0327606951633609e+01 +1.9393681259717580e+05 
+9.8800000000000011e+01 -9.8803677614406685e-04 +1.3868307692453266e-07 +3.0401999706256883e-01 -2.1082674809285685e+01 -5.3533493452060576e+01 +2.3802291469295992e+05 
+9.8900000000000006e+01 -9.8525552089458917e-04 +1.3858561445664173e-07 +3.0297345546314541e-01 -2.1011627839755491e+01 -7.3596341153070099e+01 +2.7652000820767926e+05 
+9.9000000000000000e+01 -9.8248358171618773e-04 +1.3845262921411781e-07 +3.0193080167316738e-01 -2.0941588354111115e+01 -8.9082134316103335e+01 +3.0693772265536420e+05 
+9.9100000000000009e+01 -9.7972092353372530e-04 +1.3827700200716645e-07 +3.0089203411308307e-01 -2.0872755254615736e+01 -9.8913252063338632e+01 +3.2742109788911953e+05 
+9.9200000000000003e+01 -9.7696751193881233e-04 +1.3805830064640711e-07 +2.9985713575399775e-01 -2.0805076627501077e+01 -1.0343682955080691e+02 +3.3865567514872825e+05 
+9.9300000000000011e+01 -9.7422331268977173e-04 +1.3779776466320305e-07 +2.9882608570823455e-01 -2.0738437915336252e+01 -1.0335587651844344e+02 +3.4196161827526562e+05 
+9.9400000000000006e+01 -9.7148829154479715e-04 +1.3749663359635701e-07 +2.9779886307419118e-01 -2.0672724333922996e+01 -9.9374565874329662e+01 +3.3866093739229307e+05 
+9.9500000000000000e+01 -9.6876241426226541e-04 +1.3715614698892310e-07 +2.9677544697008401e-01 -2.0607821425126893e+01 -9.2195384478305016e+01 +3.3007294955584715e+05 
+9.9600000000000009e+01 -9.6604564660028017e-04 +1.3677754440042868e-07 +2.9575581648541471e-01 -2.0543614265366767e+01 -8.2523206263984349e+01 +3.1752076539561863e+05 
+9.9700000000000003e+01 -9.6333795431725845e-04 +1.3636206534523216e-07 +2.9473995074193277e-01 -2.0479988446123468e+01 -7.1060288043330445e+01 +3.0232336243301869e+05 
+9.9800000000000011e+01 -9.6063930317138741e-04 +1.3591094937063875e-07 +2.9372782883781884e-01 -2.0416829184858507e+01 -5.8510778023850179e+01 +2.8580269470573106e+05 
+9.9900000000000006e+01 -9.5794965892096590e-04 +1.3542543601863968e-07 +2.9271942988239641e-01 -2.0354021872772016e+01 -4.5577957224563086e+01 +2.6927936484297609e+05 
+1.0000000000000000e+02 -9.5526898732423377e-04 +1.3490676483441456e-07 +2.9171473297971867e-01 -2.0291451823262918e+01 -3.2965480177415792e+01 +2.5407454070976513e+05 
+1.0010000000000001e+02 -9.5259725440145185e-04 +1.3435734620943554e-07 +2.9071371835507354e-01 -2.0229027802183559e+01 -2.1211464014399706e+01 +2.4117320686187883e+05 
+1.0020000000000000e+02 -9.4993442722090529e-04 +1.3378427385285737e-07 +2.8971637071342571e-01 -2.0166752305998280e+01 -1.0192262212206442e+01 +2.3021620526934435e+05 
+1.0030000000000001e+02 -9.4728047311288676e-04 +1.3319581235307420e-07 +2.8872267587998807e-01 -2.0104651271774991e+01 +3.8126394788347479e-01 +2.2050824780257861e+05 
+1.0040000000000001e+02 -9.4463535940771928e-04 +1.3260022628891490e-07 +2.8773261968302005e-01 -2.0042750682527014e+01 +1.0798475427702133e+01 +2.1135370941411986e+05 
+1.0050000000000000e+02 -9.4199905343556143e-04 +1.3200578023230016e-07 +2.8674618793430690e-01 -1.9981076264448525e+01 +2.1347450826532160e+01 +2.0205896370988421e+05 
+1.0060000000000001e+02 -9.3937152252678078e-04 +1.3142073877215552e-07 +2.8576336646689005e-01 -1.9919654078267772e+01 +3.2317950112501457e+01 +1.9192775130696024e+05 
+1.0070000000000000e+02 -9.3675273401161159e-04 +1.3085336647880755e-07 +2.8478414109995953e-01 -1.9858509964483360e+01 +4.3998620052863494e+01 +1.8026556215559639e+05 
+1.0080000000000001e+02 -9.3414265522038251e-04 +1.3031192791487736e-07 +2.8380849766278887e-01 -1.9797669927164499e+01 +5.6678944829209165e+01 +1.6637655863261709e+05 
+1.0090000000000001e+02 -9.3154125348331130e-04 +1.2980468766902478e-07 +2.8283642197242825e-01 -1.9737159767516051e+01 +7.0647352948028015e+01 +1.4956659730551468e+05 
+1.0100000000000000e+02 -9.2894849613069813e-04 +1.2933991030759084e-07 +2.8186789985544480e-01 -1.9677005449526881e+01 +8.6193136973004115e+01 +1.2914012855696406e+05 
+1.0110000000000001e+02 -9.2636435066421766e-04 +1.2892381845257320e-07 +2.8090291598964490e-01 -1.9617207248672980e+01 +1.0342638797018040e+02 +1.0476467268087009e+05 
+1.0120000000000000e+02 -9.2378878527102132e-04 +1.2855446691299219e-07 +2.7994145045804342e-01 -1.9557662723206235e+01 +1.2174069147919451e+02 +7.7559427002474200e+04 
+1.0130000000000001e+02 -9.2122176830971713e-04 +1.2822786851924946e-07 +2.7898348220374569e-01 -1.9498243890350569e+01 +1.4035120431413554e+02 +4.9005410516531017e+04 
+1.0140000000000001e+02 -9.1866326813884718e-04 +1.2794003613735051e-07 +2.7802899016366656e-01 -1.9438822673534457e+01 +1.5847262176419679e+02 +2.0584355461985295e+04 
+1.0150000000000000e+02 -9.1611325311705453e-04 +1.2768698258706899e-07 +2.7707795328453005e-01 -1.9379271146212815e+01 +1.7532037889265422e+02 -6.2231488182066369e+03 
+1.0160000000000001e+02 -9.1357169160282748e-04 +1.2746472070146353e-07 +2.7613035049760265e-01 -1.9319461141416241e+01 +1.9010871320944480e+02 -2.9934650374259334e+04 
+1.0170000000000000e+02 -9.1103855195475065e-04 +1.2726926334574260e-07 +2.7518616074372981e-01 -1.9259264640432232e+01 +2.0205259723234664e+02 -4.9068835929827183e+04 
+1.0180000000000001e+02 -9.0851380253142674e-04 +1.2709662333755422e-07 +2.7424536296536861e-01 -1.9198553650107936e+01 +2.1036713381862396e+02 -6.2144598762703165e+04 
+1.0190000000000001e+02 -9.0599741169142473e-04 +1.2694281354609224e-07 +2.7330793610244697e-01 -1.9137200142313002e+01 +2.1426726555507108e+02 -6.7680598981756790e+04 
+1.0200000000000000e+02 -9.0348934779326288e-04 +1.2680384679591300e-07 +2.7237385908843992e-01 -1.9075075976724776e+01 +2.1296733551356650e+02 -6.4194517271524863e+04 
+1.0210000000000001e+02 -9.0098957949189603e-04 +1.2667573057286049e-07 +2.7144311435034130e-01 -1.9012106443168751e+01 +2.0599141717461333e+02 -5.0765596510422700e+04 
+1.0220000000000000e+02 -8.9849807662719598e-04 +1.2655445086179528e-07 +2.7051569820043325e-01 -1.8948429099664899e+01 +1.9409501178786368e+02 -2.8707368132642248e+04 
+1.0230000000000001e+02 -8.9601480933551765e-04 +1.2643598829159505e-07 +2.6959161044814955e-01 -1.8884234982370927e+01 +1.7834356303291693e+02 +1.0477380521814931e+02 
+1.0240000000000001e+02 -8.9353974775309647e-04 +1.2631632349565455e-07 +2.6867085089081455e-01 -1.8819714933267800e+01 +1.5980152197214233e+02 +3.3797011398901566e+04 
+1.0250000000000000e+02 -8.9107286201619402e-04 +1.2619143710922833e-07 +2.6775341932814273e-01 -1.8755059833222450e+01 +1.3953354417014532e+02 +7.0495193452699750e+04 
+1.0260000000000001e+02 -8.8861412226105537e-04 +1.2605730976597678e-07 +2.6683931555848095e-01 -1.8690460542680309e+01 +1.1860418355271619e+02 +1.0832532859898498e+05 
+1.0270000000000000e+02 -8.8616349862395661e-04 +1.2590992206023664e-07 +2.6592853938359129e-01 -1.8626107977271658e+01 +9.8078276410378550e+01 +1.4541297708261476e+05 
+1.0280000000000001e+02 -8.8372096124115953e-04 +1.2574525464612728e-07 +2.6502109060321738e-01 -1.8562193018039661e+01 +7.9020476794767163e+01 +1.7988399377411616e+05 
+1.0290000000000001e+02 -8.8128648024891486e-04 +1.2555928815358918e-07 +2.6411696901611509e-01 -1.8498906530614608e+01 +6.2495361221820794e+01 +2.0986435522091313e+05 
+1.0300000000000000e+02 -8.7886002578356492e-04 +1.2534800320592046e-07 +2.6321617443066603e-01 -1.8436439535045285e+01 +4.9568291544969270e+01 +2.3347879805173850e+05 
+1.0310000000000001e+02 -8.7644156812511970e-04 +1.2510807116830344e-07 +2.6231870391349710e-01 -1.8374937417415989e+01 +4.1039673078544489e+01 +2.4933239268116595e+05 
+1.0320000000000000e+02 -8.7403107812910154e-04 +1.2483892643509956e-07 +2.6142454365122447e-01 -1.8314364415625032e+01 +3.6657116725565992e+01 +2.5794047114355021e+05 
+1.0330000000000001e+02 -8.7162852679486874e-04 +1.2454069407187843e-07 +2.6053367710655173e-01 -1.8254639423088914e+01 +3.5904762209880644e+01 +2.6029633793015027e+05 
+1.0340000000000001e+02 -8.6923388512167936e-04 +1.2421349921647990e-07 +2.5964608773161718e-01 -1.8195681161675214e+01 +3.8265866778748986e+01 +2.5739470415008996e+05 
+1.0350000000000000e+02 -8.6684712410900998e-04 +1.2385746697565706e-07 +2.5876175900126114e-01 -1.8137408717039431e+01 +4.3225540163294426e+01 +2.5022735111618886e+05 
+1.0360000000000001e+02 -8.6446821475599008e-04 +1.2347272244101798e-07 +2.5788067435437928e-01 -1.8079740599141843e+01 +5.0265962410996217e+01 +2.3979069081972522e+05 
+1.0370000000000000e+02 -8.6209712806211368e-04 +1.2305939076793881e-07 +2.5700281726689189e-01 -1.8022595906821511e+01 +5.8872297908067495e+01 +2.2707643148474224e+05 
+1.0380000000000001e+02 -8.5973383502668040e-04 +1.2261759701747219e-07 +2.5612817119563402e-01 -1.7965893438972472e+01 +6.8528201743536556e+01 +2.1307864864544405e+05 
+1.0390000000000001e+02 -8.5737830664896436e-04 +1.2214746632984936e-07 +2.5525671959452173e-01 -1.7909551947054069e+01 +7.8717085205096623e+01 +1.9879180637455234e+05 
+1.0400000000000000e+02 -8.5503051392835387e-04 +1.2164912379242717e-07 +2.5438844592935461e-01 -1.7853490374009635e+01 +8.8923339909883907e+01 +1.8520881115371009e+05 
+1.0410000000000001e+02 -8.5269042807284423e-04 +1.2112412199319744e-07 +2.5352333412557676e-01 -1.7797640914393373e+01 +9.8740078233433593e+01 +1.7308558566025467e+05 
+1.0420000000000000e+02 -8.5035802112521373e-04 +1.2057972332129038e-07 +2.5266136998828254e-01 -1.7741989473110834e+01 +1.0819903700851070e+02 +1.6222402172602515e+05 
+1.0430000000000001e+02 -8.4803326533690619e-04 +1.2002461764096397e-07 +2.5180253978932221e-01 -1.7686535328227450e+01 +1.1744131642576831e+02 +1.5218798564963433e+05 
+1.0440000000000001e+02 -8.4571613295940547e-04 +1.1946749478618629e-07 +2.5094682980362859e-01 -1.7631277801655290e+01 +1.2660822564171131e+02 +1.4254102663282410e+05 
+1.0450000000000000e+02 -8.4340659624414758e-04 +1.1891704465575622e-07 +2.5009422630219114e-01 -1.7576216157801344e+01 +1.3584079637293902e+02 +1.3284711762071593e+05 
+1.0460000000000001e+02 -8.4110462744264511e-04 +1.1838195708231336e-07 +2.4924471556302386e-01 -1.7521349767237030e+01 +1.4528058123251267e+02 +1.2266942886594200e+05 
+1.0470000000000000e+02 -8.3881019880633690e-04 +1.1787092191629925e-07 +2.4839828385814619e-01 -1.7466677917307692e+01 +1.5506874991763726e+02 +1.1157169149541728e+05 
+1.0480000000000001e+02 -8.3652328258665063e-04 +1.1739262904136787e-07 +2.4755491745578309e-01 -1.7412199814453071e+01 +1.6534599775949400e+02 +9.9118453916589016e+04 
+1.0490000000000001e+02 -8.3424385103508022e-04 +1.1695576829786415e-07 +2.4671460263365896e-01 -1.7357914838271586e+01 +1.7625396630374584e+02 +8.4872699386637469e+04 
+1.0500000000000000e+02 -8.3197187640302701e-04 +1.1656902954101212e-07 +2.4587732565822210e-01 -1.7303822172486480e+01 +1.8793325165888365e+02 +6.8399116338482068e+04 
+1.0510000000000001e+02 -8.2970733109842109e-04 +1.1623853093015731e-07 +2.4504307244726159e-01 -1.7249906888898185e+01 +2.0040573900185572e+02 +4.9524301578240840e+04 
+1.0520000000000000e+02 -8.2745018815484715e-04 +1.1596010378427073e-07 +2.4421182747120798e-01 -1.7196096721367400e+01 +2.1321378790370102e+02 +2.9130054138287331e+04 
+1.0530000000000001e+02 -8.2520042076217283e-04 +1.1572700772299069e-07 +2.4338357482694087e-01 -1.7142304894061692e+01 +2.2577902247924834e+02 +8.3632836125438607e+03 
+1.0540000000000001e+02 -8.2295800211041193e-04 +1.1553250236861247e-07 +2.4255829862502684e-01 -1.7088444839350007e+01 +2.3752409213457810e+02 -1.1630684184086651e+04 
+1.0550000000000000e+02 -8.2072290538949837e-04 +1.1536984734688546e-07 +2.4173598296862225e-01 -1.7034429879611565e+01 +2.4787111506648085e+02 -2.9705715548820361e+04 
+1.0560000000000001e+02 -8.1849510378945796e-04 +1.1523230224768957e-07 +2.4091661196977199e-01 -1.6980173471214020e+01 +2.5624286350730893e+02 -4.4716679463092863e+04 
+1.0570000000000000e+02 -8.1627457050011305e-04 +1.1511312672042152e-07 +2.4010016972044007e-01 -1.6925588760201499e+01 +2.6206056694340151e+02 -5.5516046174050840e+04 
+1.0580000000000001e+02 -8.1406127871148709e-04 +1.1500558036266648e-07 +2.3928664033261515e-01 -1.6870589204740035e+01 +2.6474701639679694e+02 -6.0958725781839908e+04 
+1.0590000000000001e+02 -8.1185520161356753e-04 +1.1490292279220284e-07 +2.3847600791443452e-01 -1.6815088200993216e+01 +2.6372468492917216e+02 -5.9899121666426938e+04 
+1.0600000000000000e+02 -8.0965631239631527e-04 +1.1479841364115679e-07 +2.3766825657192114e-01 -1.6758999117362901e+01 +2.5841592521789261e+02 -5.1191471019581739e+04 
+1.0610000000000001e+02 -8.0746458448668922e-04 +1.1468624943821010e-07 +2.3686337300378391e-01 -1.6702277928840999e+01 +2.4850189895670690e+02 -3.4172893235848096e+04 
+1.0620000000000000e+02 -8.0527999225977630e-04 +1.1456437433360447e-07 +2.3606135429821853e-01 -1.6645051381973989e+01 +2.3470090302160588e+02 -1.0115193269988913e+04 
+1.0630000000000001e+02 -8.0310251032770987e-04 +1.1443166942701151e-07 +2.3526220014100041e-01 -1.6587488909812311e+01 +2.1799045630363852e+02 +1.9226281181512750e+04 
+1.0640000000000001e+02 -8.0093211330271548e-04 +1.1428701577877923e-07 +2.3446591022708743e-01 -1.6529760089195275e+01 +1.9934879924225669e+02 +5.2095052644890275e+04 
+1.0650000000000000e+02 -7.9876877579675956e-04 +1.1412929448751641e-07 +2.3367248422608244e-01 -1.6472034102272598e+01 +1.7975219884335920e+02 +8.6737725515358950e+04 
+1.0660000000000001e+02 -7.9661247242206223e-04 +1.1395738662366764e-07 +2.3288192183253284e-01 -1.6414480520299964e+01 +1.6017886997707464e+02 +1.2139785993697587e+05 
+1.0670000000000000e+02 -7.9446317779082072e-04 +1.1377017327308807e-07 +2.3209422273874622e-01 -1.6357268880375099e+01 +1.4160685941875778e+02 +1.5431927525123919e+05 
+1.0680000000000001e+02 -7.9232086651503291e-04 +1.1356653549931415e-07 +2.3130938661748207e-01 -1.6300568414029176e+01 +1.2501268132318256e+02 +1.8374819011192300e+05 
+1.0690000000000001e+02 -7.9018551320694439e-04 +1.1334535441291113e-07 +2.3052741316553949e-01 -1.6244548726133452e+01 +1.1137471478507558e+02 +2.0792791171030162e+05 
+1.0700000000000000e+02 -7.8805709247863293e-04 +1.1310551106519321e-07 +2.2974830206349456e-01 -1.6189379170744189e+01 +1.0167008938324663e+02 +2.2510369455819618e+05 
+1.0710000000000001e+02 -7.8593557906470924e-04 +1.1284590663425730e-07 +2.2897205049798300e-01 -1.6135184577195140e+01 +9.6609853213847842e+01 +2.3400877165436000e+05 
+1.0720000000000000e+02 -7.8382094818997279e-04 +1.1256552266158751e-07 +2.2819864568196579e-01 -1.6081911690031113e+01 +9.5840742667286804e+01 +2.3532832881661676e+05 
+1.0730000000000001e+02 -7.8171317520149737e-04 +1.1226336078090973e-07 +2.2742807231056447e-01 -1.6029462367477123e+01 +9.8741635908924337e+01 +2.3023827243704439e+05 
+1.0740000000000001e+02 -7.7961223544657256e-04 +1.1193842261107061e-07 +2.2666031509825826e-01 -1.5977738756078537e+01 +1.0469281161837961e+02 +2.1991236657416992e+05 
+1.0750000000000000e+02 -7.7751810427237854e-04 +1.1158970979350134e-07 +2.2589535875016581e-01 -1.5926642867744885e+01 +1.1307391203762823e+02 +2.0552532795299316e+05 
+1.0760000000000001e+02 -7.7543075702610068e-04 +1.1121622395076834e-07 +2.2513318797148105e-01 -1.5876076710994385e+01 +1.2326454569334501e+02 +1.8825194569914794e+05 
+1.0770000000000000e+02 -7.7335016905500634e-04 +1.1081696670490667e-07 +2.2437378747500678e-01 -1.5825942410267171e+01 +1.3464489439154434e+02 +1.6926611945065967e+05 
+1.0780000000000001e+02 -7.7127631570624456e-04 +1.1039093970850688e-07 +2.2361714196242305e-01 -1.5776141921027723e+01 +1.4659430816895809e+02 +1.4974303377358450e+05 
+1.0790000000000001e+02 -7.6920917232700258e-04 +1.0993714457217898e-07 +2.2286323613880221e-01 -1.5726577247268031e+01 +1.5849236492422145e+02 +1.3085753405668554e+05 
+1.0800000000000000e+02 -7.6714871426454719e-04 +1.0945458292858601e-07 +2.2211205471740375e-01 -1.5677150525840659e+01 +1.6971932604588216e+02 +1.1378337623049687e+05 
+1.0810000000000001e+02 -7.6509491703495591e-04 +1.0894407666174297e-07 +2.2136358299975800e-01 -1.5627781272262089e+01 +1.7978891259024422e+02 +9.9417015006962189e+04 
